id,name,shop,type,handed,price,weapon_bonus,defend_bonus,impact,requirement,entry,effect,other,description
weapon_010001,木剑,1,剑,1,5G,攻击+0/+1,防御+0/+1,无,无,无,无,无,一柄木头削成的单手剑，用来练习倒也不错，但是实战能力只能说是聊胜于无
weapon_010002,指虎,0,拳套,2,无,攻击+1/+0,防御+0/+0,无,无,[指虎],无,无,一对废铁打造成的指虎，坑坑洼洼，饱经风霜，上面铭刻着战斗的痕迹
weapon_010003,小刀,0,小刀,1,无,攻击+1/+0,防御+0/+0,无,无,[便携],无,无,一柄崭新的小刀，很实用，各种意义上的实用
weapon_010004,木棒,0,棒槌,1,无,攻击+0/+2,防御+0/+1,无,力量2,无,无,无,一根厚实的木棒，奋力一击便能让一个没有抵抗的人昏迷
weapon_010005,匕首,0,匕首,1,无,攻击+1/+1,防御+0/+0,无,敏捷2,[隐秘],无,无,一柄有着许多划痕的匕首，仍然饱含锋锐，把它藏好了
weapon_010006,小盾,0,小圆盾,1,无,攻击+0/+0,防御+1/+0,无,无,无,无,无,一面小巧的盾牌，看上去并不经用，但有时会排上大用场
weapon_010007,旧火枪,0,火枪,2,无,射击+0/+1,防御+0/+0,无,敏捷2,[枪射][装填3],【装填弹药】,无,一支老旧的火枪，尽管结构还算牢固，但随时可能走火
weapon_010008,短弓,0,弓,2,无,射击+0/+0,防御+0/+0,无,力量1;敏捷1,[弓射],无,无,一把不知来处的短弓，她曾经属于一位猎人还是一位吟游诗人？
weapon_010009,魔杖,0,魔杖,1,无,法术强度+0/+0,防御+0/+0,无,魔力1;通灵1,无,【魔力弹】,无,一根年轻的短魔杖，新手法师们用来练习高深莫测的法术，他们当中很少有人抱有敬畏之心
weapon_010010,长棍,0,长棍,2,无,攻击+0/+1,防御+0/+1,无,力量1;耐力1,无,【横扫】,无,一根结实的长棍，他的功能或许不强，但是实用性绝对不差
weapon_010011,大剑,0,大剑,2,无,攻击+0/+3,防御+0/+2,敏捷-2,力量3,无,无,无,一块厚重的大剑，仿佛坚不可摧，很难分清这是利器亦或钝器
